0,1,2,3,4,5,6,7,8,9,10,11,season,event,discipline,segment
Pl.,Qual.,Competitor,Nation,TSS,TES,PCS,CO,PR,SK,Deduction,StN.,2022-2023,World Championships,Women,SP
1,Q,Kaori SAKAMOTO,JPN,79.24,42.81,36.43,9.04,9.21,9.14,0.00,#34,2022-2023,World Championships,Women,SP
2,Q,Haein LEE,KOR,73.62,39.51,34.11,8.50,8.57,8.57,0.00,#32,2022-2023,World Championships,Women,SP
3,Q,Mai MIHARA,JPN,73.46,39.08,34.38,8.57,8.57,8.71,0.00,#31,2022-2023,World Championships,Women,SP
4,Q,Isabeau LEVITO,USA,73.03,39.10,33.93,8.54,8.61,8.36,0.00,#28,2022-2023,World Championships,Women,SP
5,Q,Loena HENDRICKX,BEL,71.94,37.88,35.06,8.93,8.75,8.68,1.00,#35,2022-2023,World Championships,Women,SP
6,Q,Niina PETROKINA,EST,68.00,36.70,31.30,7.79,7.89,7.86,0.00,#29,2022-2023,World Championships,Women,SP
7,Q,Nicole SCHOTT,GER,67.29,36.76,30.53,7.68,7.82,7.46,0.00,#26,2022-2023,World Championships,Women,SP
8,Q,Bradie TENNELL,USA,66.45,34.24,32.21,8.07,8.29,7.86,0.00,#16,2022-2023,World Championships,Women,SP
9,Q,Ekaterina KURAKOVA,POL,65.69,34.66,31.03,7.86,7.93,7.54,0.00,#27,2022-2023,World Championships,Women,SP
10,Q,Amber GLENN,USA,65.52,34.70,30.82,7.68,7.71,7.79,0.00,#21,2022-2023,World Championships,Women,SP
11,Q,Anastasiia GUBANOVA,GEO,65.40,32.49,32.91,8.32,8.21,8.21,0.00,#30,2022-2023,World Championships,Women,SP
12,Q,Chaeyeon KIM,KOR,64.06,34.61,29.45,7.39,7.25,7.50,0.00,#23,2022-2023,World Championships,Women,SP
13,Q,Kimmy REPOND,SUI,62.75,34.49,28.26,7.18,7.00,7.07,0.00,#22,2022-2023,World Championships,Women,SP
14,Q,Nina PINZARRONE,BEL,62.04,34.16,27.88,7.04,7.07,6.86,0.00,#19,2022-2023,World Championships,Women,SP
15,Q,Rinka WATANABE,JPN,60.90,30.17,31.73,8.07,7.79,8.00,1.00,#25,2022-2023,World Championships,Women,SP
16,Q,Madeline SCHIZAS,CAN,60.02,31.19,29.83,7.46,7.61,7.36,1.00,#24,2022-2023,World Championships,Women,SP
17,Q,Yelim KIM,KOR,60.02,28.43,32.59,8.25,7.96,8.29,1.00,#33,2022-2023,World Championships,Women,SP
18,Q,Sofja STEPCENKO,LAT,58.87,34.84,24.03,6.07,6.11,5.89,0.00,#4,2022-2023,World Championships,Women,SP
19,Q,Lindsay VAN ZUNDERT,NED,57.56,31.20,26.36,6.64,6.86,6.32,0.00,#17,2022-2023,World Championships,Women,SP
20,Q,Olga MIKUTINA,AUT,57.05,31.40,26.65,6.79,6.71,6.54,1.00,#10,2022-2023,World Championships,Women,SP
21,Q,Janna JYRKINEN,FIN,56.06,30.33,25.73,6.46,6.46,6.43,0.00,#14,2022-2023,World Championships,Women,SP
22,Q,Julia SAUTER,ROU,56.02,29.70,26.32,6.64,6.61,6.54,0.00,#20,2022-2023,World Championships,Women,SP
23,Q,Lara Naki GUTMANN,ITA,55.22,28.31,26.91,6.89,6.71,6.64,0.00,#18,2022-2023,World Championships,Women,SP
24,Q,Alexandra FEIGIN,BUL,54.65,30.18,24.47,6.32,6.04,6.04,0.00,#15,2022-2023,World Championships,Women,SP
25,,Lorine SCHILD,FRA,54.35,30.84,23.51,6.00,5.79,5.89,0.00,#11,2022-2023,World Championships,Women,SP
26,,Jade HOVINE,BEL,54.10,30.87,23.23,5.79,6.00,5.68,0.00,#8,2022-2023,World Championships,Women,SP
27,,Kristen SPOURS,GBR,53.38,29.92,23.46,5.93,6.00,5.71,0.00,#5,2022-2023,World Championships,Women,SP
28,,Ema DOBOSZOVA,SVK,53.01,30.64,22.37,5.57,5.71,5.54,0.00,#3,2022-2023,World Championships,Women,SP
29,,Kristina ISAEV,GER,52.93,28.89,24.04,5.96,6.11,6.00,0.00,#7,2022-2023,World Championships,Women,SP
30,,Anastasia GRACHEVA,MDA,50.55,30.65,19.90,5.14,5.00,4.82,0.00,#2,2022-2023,World Championships,Women,SP
31,,Marilena KITROMILIS,CYP,48.92,25.89,24.03,6.18,5.89,6.00,1.00,#12,2022-2023,World Championships,Women,SP
32,,Eliska BREZINOVA,CZE,47.29,23.82,23.47,5.86,5.75,6.04,0.00,#13,2022-2023,World Championships,Women,SP
33,,Dasa GRM,SLO,47.04,23.80,24.24,6.11,6.18,5.93,1.00,#9,2022-2023,World Championships,Women,SP
34,,Julia LANG,HUN,44.26,21.60,22.66,5.86,5.68,5.50,0.00,#6,2022-2023,World Championships,Women,SP
35,,Mia RISA GOMEZ,NOR,43.54,23.64,20.90,5.39,5.18,5.14,1.00,#1,2022-2023,World Championships,Women,SP
